Name,Source (NCBI),Articles
trnD-GUC,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=30936&to=31009,https://pubmed.ncbi.nlm.nih.gov/?term=trnD-GUC%20Coffea
trnY-GUA,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=31129&to=31212,https://pubmed.ncbi.nlm.nih.gov/?term=trnY-GUA%20Coffea
trnE-UUC,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=31277&to=31349,https://pubmed.ncbi.nlm.nih.gov/?term=trnE-UUC%20Coffea
trnT-GGU,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=32117&to=32188,https://pubmed.ncbi.nlm.nih.gov/?term=trnT-GGU%20Coffea
psbD,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=33431&to=34492,https://pubmed.ncbi.nlm.nih.gov/?term=psbD%20Coffea
psbC,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=34440&to=35861,https://pubmed.ncbi.nlm.nih.gov/?term=psbC%20Coffea
trnS-UGA,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=36090&to=36181,https://pubmed.ncbi.nlm.nih.gov/?term=trnS-UGA%20Coffea
psbZ,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=36509&to=36697,https://pubmed.ncbi.nlm.nih.gov/?term=psbZ%20Coffea
trnG-GCC,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=36999&to=37069,https://pubmed.ncbi.nlm.nih.gov/?term=trnG-GCC%20Coffea
trnfM-CAU,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=37260&to=37333,https://pubmed.ncbi.nlm.nih.gov/?term=trnfM-CAU%20Coffea
rps14,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=37483&to=37785,https://pubmed.ncbi.nlm.nih.gov/?term=rps14%20Coffea
psaB,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=37918&to=39248,https://pubmed.ncbi.nlm.nih.gov/?term=psaB%20Coffea
psaB,https://www.ncbi.nlm.nih.gov/nuccore/NC_008535.1?report=genbank&from=37918&to=39309,https://pubmed.ncbi.nlm.nih.gov/?term=psaB%20Coffea
